customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
CUST000001,UNIQ000001,23970,sao paulo,SP
CUST000002,UNIQ000002,30287,capital,RN
CUST000003,UNIQ000003,65846,maringa,PR
CUST000004,UNIQ000004,95403,uberlandia,MG
CUST000005,UNIQ000005,86725,campinas,SP
CUST000006,UNIQ000006,43244,campinas,SP
CUST000007,UNIQ000007,44249,sao paulo,SP
CUST000008,UNIQ000008,80268,paulista,PE
CUST000009,UNIQ000009,65517,belo horizonte,MG
CUST000010,UNIQ000010,84012,santa maria,RS
CUST000011,UNIQ000011,57925,santo andre,SP
CUST000012,UNIQ000012,90200,capital,PI
CUST000013,UNIQ000013,46118,salvador,BA
CUST000014,UNIQ000014,99208,sao paulo,SP
CUST000015,UNIQ000015,62095,campinas,SP
CUST000016,UNIQ000016,36698,campinas,SP
CUST000017,UNIQ000017,64162,sao bernardo do campo,SP
CUST000018,UNIQ000018,82365,sao goncalo,RJ
CUST000019,UNIQ000019,83080,rio de janeiro,RJ
CUST000020,UNIQ000020,73238,sao bernardo do campo,SP
CUST000021,UNIQ000021,33425,uberlandia,MG
CUST000022,UNIQ000022,58524,sao bernardo do campo,SP
CUST000023,UNIQ000023,83281,santo andre,SP
CUST000024,UNIQ000024,82733,campinas,SP
CUST000025,UNIQ000025,73407,duque de caxias,RJ
CUST000026,UNIQ000026,43263,criciuma,SC
CUST000027,UNIQ000027,50193,guarulhos,SP
CUST000028,UNIQ000028,85713,rio de janeiro,RJ
CUST000029,UNIQ000029,55135,uberlandia,MG
CUST000030,UNIQ000030,62183,santo andre,SP
CUST000031,UNIQ000031,28096,contagem,MG
CUST000032,UNIQ000032,96413,guarulhos,SP
CUST000033,UNIQ000033,25608,campinas,SP
CUST000034,UNIQ000034,40116,interior,PB
CUST000035,UNIQ000035,68536,zona sul,MA
CUST000036,UNIQ000036,31206,salvador,BA
CUST000037,UNIQ000037,23143,sao paulo,SP
CUST000038,UNIQ000038,38109,santo andre,SP
CUST000039,UNIQ000039,76629,porto alegre,RS
CUST000040,UNIQ000040,62502,nova iguacu,RJ
CUST000041,UNIQ000041,54359,guarulhos,SP
CUST000042,UNIQ000042,82165,sao goncalo,RJ
CUST000043,UNIQ000043,90481,guarulhos,SP
CUST000044,UNIQ000044,99727,capital,ES
CUST000045,UNIQ000045,16822,santo andre,SP
CUST000046,UNIQ000046,31068,santa maria,RS
CUST000047,UNIQ000047,61000,sao paulo,SP
CUST000048,UNIQ000048,93345,duque de caxias,RJ
CUST000049,UNIQ000049,10693,rio de janeiro,RJ
CUST000050,UNIQ000050,21939,sao bernardo do campo,SP
CUST000051,UNIQ000051,29048,zona sul,PI
CUST000052,UNIQ000052,71822,criciuma,SC
CUST000053,UNIQ000053,88675,zona sul,PB
CUST000054,UNIQ000054,67065,sobral,CE
CUST000055,UNIQ000055,21552,uberlandia,MG
CUST000056,UNIQ000056,18399,capital,MT
CUST000057,UNIQ000057,44483,sao paulo,SP
CUST000058,UNIQ000058,39067,campinas,SP
CUST000059,UNIQ000059,58606,guarulhos,SP
CUST000060,UNIQ000060,20490,sao paulo,SP
CUST000061,UNIQ000061,89826,campinas,SP
CUST000062,UNIQ000062,14948,sao paulo,SP
CUST000063,UNIQ000063,60374,camaçari,BA
CUST000064,UNIQ000064,62513,guarulhos,SP
CUST000065,UNIQ000065,90473,santo andre,SP
CUST000066,UNIQ000066,96006,nova iguacu,RJ
CUST000067,UNIQ000067,78289,campinas,SP
CUST000068,UNIQ000068,47548,vitoria da conquista,BA
CUST000069,UNIQ000069,88311,guarulhos,SP
CUST000070,UNIQ000070,17531,interior,DF
CUST000071,UNIQ000071,32973,blumenau,SC
CUST000072,UNIQ000072,93924,sao paulo,SP
CUST000073,UNIQ000073,74797,sao bernardo do campo,SP
CUST000074,UNIQ000074,67536,feira de santana,BA
CUST000075,UNIQ000075,11403,santa maria,RS
CUST000076,UNIQ000076,36438,londrina,PR
CUST000077,UNIQ000077,96099,joinville,SC
CUST000078,UNIQ000078,77915,santo andre,SP
CUST000079,UNIQ000079,47487,santo andre,SP
CUST000080,UNIQ000080,35525,guarulhos,SP
CUST000081,UNIQ000081,14405,paulista,PE
CUST000082,UNIQ000082,88579,uberlandia,MG
CUST000083,UNIQ000083,76918,guarulhos,SP
CUST000084,UNIQ000084,77608,sao paulo,SP
CUST000085,UNIQ000085,40365,campinas,SP
