order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD00000001,1,PROD000028,SELL00011,2017-01-07 01:16:00,99.41,22.1
ORD00000001,2,PROD000107,SELL00078,2017-01-05 01:16:00,572.85,77.23
ORD00000001,3,PROD000112,SELL00327,2017-01-08 01:16:00,232.37,53.1
ORD00000002,1,PROD000708,SELL00066,2017-01-08 01:42:00,321.12,34.4
ORD00000003,1,PROD000938,SELL00321,2017-01-04 02:06:00,207.66,69.29
ORD00000003,2,PROD000511,SELL00241,2017-01-09 02:06:00,357.13,46.29
ORD00000004,1,PROD000946,SELL00333,2017-01-07 02:16:00,493.21,73.7
ORD00000005,1,PROD000316,SELL00080,2017-01-05 04:01:00,613.76,17.74
ORD00000006,1,PROD000131,SELL00027,2017-01-07 04:38:00,341.11,8.25
ORD00000007,1,PROD000416,SELL00022,2017-01-05 06:02:00,557.27,35.07
ORD00000007,2,PROD000732,SELL00032,2017-01-04 06:02:00,1145.45,71.08
ORD00000007,3,PROD000742,SELL00143,2017-01-09 06:02:00,623.55,38.19
ORD00000008,1,PROD000238,SELL00225,2017-01-06 08:31:00,216.74,10.42
ORD00000009,1,PROD000998,SELL00061,2017-01-06 09:28:00,885.69,32.66
ORD00000009,2,PROD000809,SELL00092,2017-01-09 09:28:00,85.16,60.74
ORD00000009,3,PROD000746,SELL00178,2017-01-09 09:28:00,64.39,72.34
ORD00000009,4,PROD000933,SELL00322,2017-01-08 09:28:00,149.51,59.9
ORD00000010,1,PROD000533,SELL00130,2017-01-06 09:30:00,337.95,33.29
ORD00000010,2,PROD000407,SELL00129,2017-01-04 09:30:00,702.74,27.04
ORD00000010,3,PROD000928,SELL00381,2017-01-05 09:30:00,47.29,10.39
ORD00000011,1,PROD000584,SELL00193,2017-01-07 09:30:00,597.63,61.77
ORD00000012,1,PROD000809,SELL00211,2017-01-04 10:04:00,185.38,76.08
ORD00000013,1,PROD000123,SELL00357,2017-01-04 12:07:00,1156.44,41.57
ORD00000013,2,PROD000617,SELL00193,2017-01-09 12:07:00,575.24,65.07
ORD00000014,1,PROD000536,SELL00221,2017-01-07 13:38:00,434.07,13.8
ORD00000015,1,PROD000217,SELL00139,2017-01-10 22:36:00,1080.11,20.92
ORD00000016,1,PROD000924,SELL00147,2017-01-04 06:45:00,272.13,64.88
ORD00000016,2,PROD000955,SELL00234,2017-01-12 06:45:00,557.03,19.95
ORD00000017,1,PROD000633,SELL00477,2017-01-12 11:35:00,1139.94,70.67
ORD00000018,1,PROD000752,SELL00205,2017-01-12 16:00:00,591.67,29.1
ORD00000019,1,PROD000034,SELL00043,2017-01-11 19:38:00,591.08,36.22
ORD00000019,2,PROD000684,SELL00444,2017-01-12 19:38:00,642.8,76.79
ORD00000020,1,PROD000529,SELL00030,2017-01-07 20:22:00,154.93,12.59
ORD00000020,2,PROD000034,SELL00335,2017-01-06 20:22:00,429.83,57.47
ORD00000021,1,PROD000543,SELL00114,2017-01-06 22:34:00,446.47,77.48
ORD00000021,2,PROD000216,SELL00239,2017-01-08 22:34:00,600.15,11.18
ORD00000021,3,PROD000815,SELL00269,2017-01-07 22:34:00,965.24,36.62
ORD00000022,1,PROD000271,SELL00143,2017-01-13 00:04:00,667.06,51.88
ORD00000023,1,PROD000036,SELL00143,2017-01-07 00:37:00,1015.42,74.69
ORD00000024,1,PROD000406,SELL00371,2017-01-09 03:02:00,896.14,31.39
ORD00000025,1,PROD000600,SELL00127,2017-01-12 03:15:00,247.72,50.33
ORD00000026,1,PROD000124,SELL00455,2017-01-06 04:55:00,1062.36,56.26
ORD00000027,1,PROD000628,SELL00425,2017-01-12 07:13:00,896.96,10.51
ORD00000027,2,PROD000686,SELL00195,2017-01-11 07:13:00,101.34,18.71
ORD00000028,1,PROD000665,SELL00333,2017-01-06 11:14:00,1185.39,26.97
ORD00000029,1,PROD000046,SELL00388,2017-01-12 11:16:00,958.5,22.29
ORD00000030,1,PROD000171,SELL00317,2017-01-05 12:25:00,797.38,41.0
ORD00000030,2,PROD000339,SELL00006,2017-01-07 12:25:00,258.62,37.78
ORD00000031,1,PROD000462,SELL00419,2017-01-11 12:29:00,236.41,62.22
ORD00000032,1,PROD000791,SELL00167,2017-01-05 12:34:00,1178.86,66.21
ORD00000033,1,PROD000779,SELL00460,2017-01-06 13:03:00,1069.75,70.81
ORD00000034,1,PROD000033,SELL00467,2017-01-08 13:53:00,494.45,62.2
ORD00000035,1,PROD000191,SELL00345,2017-01-06 14:39:00,494.05,51.57
ORD00000036,1,PROD000504,SELL00261,2017-01-07 20:13:00,414.09,20.94
ORD00000037,1,PROD000183,SELL00408,2017-01-09 21:16:00,1161.53,13.56
ORD00000038,1,PROD000782,SELL00075,2017-01-07 21:27:00,169.93,69.06
ORD00000038,2,PROD000947,SELL00179,2017-01-13 21:27:00,307.41,26.52
ORD00000038,3,PROD000454,SELL00170,2017-01-11 21:27:00,951.91,42.45
ORD00000039,1,PROD000415,SELL00192,2017-01-10 05:36:00,820.37,19.65
ORD00000040,1,PROD000952,SELL00187,2017-01-14 09:17:00,1011.17,72.67
ORD00000040,2,PROD000884,SELL00449,2017-01-13 09:17:00,294.13,39.17
ORD00000041,1,PROD000222,SELL00121,2017-01-14 09:54:00,1196.54,28.35
ORD00000042,1,PROD000834,SELL00411,2017-01-12 10:01:00,245.49,44.81
ORD00000043,1,PROD000116,SELL00181,2017-01-12 10:22:00,1002.35,49.49
ORD00000043,2,PROD000425,SELL00268,2017-01-06 10:22:00,495.89,54.4
ORD00000044,1,PROD000023,SELL00247,2017-01-09 14:53:00,712.78,38.03
ORD00000045,1,PROD000051,SELL00096,2017-01-11 15:08:00,976.71,42.89
ORD00000046,1,PROD000207,SELL00355,2017-01-10 16:25:00,499.86,66.62
ORD00000047,1,PROD000006,SELL00317,2017-01-09 17:53:00,199.14,10.57
ORD00000048,1,PROD000090,SELL00136,2017-01-13 18:03:00,183.29,16.03
ORD00000049,1,PROD000844,SELL00091,2017-01-08 18:11:00,606.1,48.95
ORD00000050,1,PROD000702,SELL00209,2017-01-10 22:53:00,1187.39,58.64
ORD00000051,1,PROD000336,SELL00134,2017-01-09 00:33:00,202.0,67.27
ORD00000051,2,PROD000626,SELL00127,2017-01-13 00:33:00,878.79,62.78
ORD00000052,1,PROD000894,SELL00495,2017-01-11 01:17:00,620.25,18.17
ORD00000052,2,PROD000031,SELL00348,2017-01-15 01:17:00,573.52,65.47
ORD00000053,1,PROD000632,SELL00425,2017-01-13 02:28:00,424.57,44.17
ORD00000054,1,PROD000681,SELL00257,2017-01-07 03:04:00,45.16,65.56
ORD00000054,2,PROD000615,SELL00274,2017-01-07 03:04:00,680.15,12.49
ORD00000054,3,PROD000640,SELL00107,2017-01-14 03:04:00,288.88,60.07
ORD00000055,1,PROD000276,SELL00399,2017-01-09 05:59:00,373.03,67.69
ORD00000056,1,PROD000617,SELL00133,2017-01-09 07:35:00,176.26,43.17
ORD00000057,1,PROD000728,SELL00362,2017-01-09 09:21:00,588.98,21.35
ORD00000058,1,PROD000323,SELL00179,2017-01-08 10:24:00,297.16,31.05
ORD00000059,1,PROD000886,SELL00297,2017-01-14 15:16:00,237.3,70.91
ORD00000060,1,PROD000099,SELL00044,2017-01-08 15:59:00,849.98,36.41
ORD00000061,1,PROD000560,SELL00205,2017-01-12 21:23:00,220.59,77.06
ORD00000062,1,PROD000231,SELL00103,2017-01-08 00:40:00,703.56,38.68
ORD00000062,2,PROD000973,SELL00377,2017-01-13 00:40:00,1141.19,67.61
ORD00000063,1,PROD000657,SELL00295,2017-01-15 08:40:00,496.23,61.56
ORD00000063,2,PROD000068,SELL00500,2017-01-11 08:40:00,821.03,44.87
ORD00000064,1,PROD000138,SELL00338,2017-01-09 08:44:00,19.53,19.16
ORD00000064,2,PROD000597,SELL00364,2017-01-14 08:44:00,118.41,26.94
ORD00000064,3,PROD000338,SELL00475,2017-01-14 08:44:00,447.46,11.9
ORD00000065,1,PROD000444,SELL00298,2017-01-13 10:21:00,838.65,69.76
ORD00000065,2,PROD000928,SELL00404,2017-01-14 10:21:00,90.07,35.23
ORD00000065,3,PROD000665,SELL00448,2017-01-09 10:21:00,442.39,52.64
ORD00000066,1,PROD000612,SELL00195,2017-01-15 11:56:00,1197.85,37.7
ORD00000066,2,PROD000416,SELL00032,2017-01-14 11:56:00,892.66,17.93
ORD00000066,3,PROD000282,SELL00157,2017-01-13 11:56:00,692.94,49.28
ORD00000067,1,PROD000868,SELL00149,2017-01-12 12:14:00,292.88,56.0
ORD00000068,1,PROD000697,SELL00129,2017-01-09 12:40:00,1168.99,29.37
ORD00000069,1,PROD000160,SELL00221,2017-01-15 12:49:00,249.08,43.82
ORD00000069,2,PROD000783,SELL00140,2017-01-10 12:49:00,854.22,27.69
ORD00000070,1,PROD000879,SELL00096,2017-01-09 13:22:00,820.48,17.45
ORD00000071,1,PROD000814,SELL00303,2017-01-16 18:23:00,1012.06,21.81
ORD00000071,2,PROD000095,SELL00343,2017-01-08 18:23:00,883.11,65.76
ORD00000072,1,PROD000264,SELL00228,2017-01-09 21:33:00,256.74,40.67
ORD00000072,2,PROD000033,SELL00339,2017-01-16 21:33:00,224.34,74.82
ORD00000072,3,PROD000243,SELL00374,2017-01-11 21:33:00,678.03,9.06
ORD00000073,1,PROD000486,SELL00052,2017-01-14 04:23:00,43.91,30.61
ORD00000074,1,PROD000223,SELL00163,2017-01-13 09:57:00,785.47,60.69
ORD00000075,1,PROD000068,SELL00357,2017-01-10 09:58:00,535.8,13.61
ORD00000075,2,PROD000916,SELL00195,2017-01-14 09:58:00,287.83,66.06
ORD00000075,3,PROD000268,SELL00229,2017-01-13 09:58:00,759.44,58.51
ORD00000075,4,PROD000887,SELL00109,2017-01-17 09:58:00,303.08,54.0
ORD00000076,1,PROD000171,SELL00166,2017-01-15 14:16:00,373.69,42.9
ORD00000076,2,PROD000558,SELL00293,2017-01-11 14:16:00,1157.24,57.63
ORD00000076,3,PROD000034,SELL00204,2017-01-13 14:16:00,1108.81,17.57
ORD00000077,1,PROD000565,SELL00353,2017-01-13 14:51:00,64.24,74.91
ORD00000078,1,PROD000122,SELL00346,2017-01-10 15:39:00,674.64,49.25
ORD00000079,1,PROD000680,SELL00330,2017-01-11 15:52:00,624.36,14.14
ORD00000079,2,PROD000379,SELL00483,2017-01-10 15:52:00,362.6,51.56
ORD00000080,1,PROD000330,SELL00128,2017-01-12 17:27:00,879.64,32.39
ORD00000080,2,PROD000223,SELL00472,2017-01-12 17:27:00,627.99,39.22
ORD00000080,3,PROD000425,SELL00239,2017-01-10 17:27:00,835.41,69.11
ORD00000081,1,PROD000440,SELL00423,2017-01-12 19:03:00,27.85,27.63
ORD00000082,1,PROD000021,SELL00248,2017-01-12 19:29:00,906.52,65.12
ORD00000083,1,PROD000081,SELL00066,2017-01-09 20:57:00,605.31,26.7
ORD00000084,1,PROD000771,SELL00469,2017-01-11 01:24:00,1027.49,77.35
ORD00000085,1,PROD000465,SELL00405,2017-01-14 03:26:00,641.45,63.14
ORD00000086,1,PROD000679,SELL00352,2017-01-12 05:16:00,474.63,63.41
ORD00000086,2,PROD000609,SELL00219,2017-01-10 05:16:00,543.87,18.14
ORD00000087,1,PROD000568,SELL00221,2017-01-11 05:23:00,216.1,22.07
ORD00000088,1,PROD000911,SELL00228,2017-01-17 06:19:00,669.07,71.74
ORD00000089,1,PROD000707,SELL00480,2017-01-17 07:44:00,676.47,57.7
ORD00000090,1,PROD000015,SELL00455,2017-01-12 09:49:00,938.27,16.43
ORD00000090,2,PROD000654,SELL00187,2017-01-17 09:49:00,423.26,71.15
ORD00000090,3,PROD000998,SELL00172,2017-01-16 09:49:00,401.55,8.09
ORD00000091,1,PROD000445,SELL00058,2017-01-14 10:55:00,364.53,24.85
ORD00000091,2,PROD000051,SELL00117,2017-01-16 10:55:00,729.56,41.56
ORD00000092,1,PROD000289,SELL00177,2017-01-10 11:31:00,536.41,66.93
ORD00000093,1,PROD000092,SELL00133,2017-01-10 12:51:00,168.49,75.23
ORD00000094,1,PROD000402,SELL00101,2017-01-13 13:18:00,499.29,60.65
ORD00000095,1,PROD000662,SELL00165,2017-01-12 23:02:00,205.15,62.41
ORD00000096,1,PROD000964,SELL00108,2017-01-17 01:21:00,191.05,52.62
ORD00000097,1,PROD000222,SELL00458,2017-01-16 01:29:00,990.22,30.22
ORD00000098,1,PROD000700,SELL00344,2017-01-18 02:33:00,447.25,49.68
ORD00000099,1,PROD000478,SELL00210,2017-01-17 05:23:00,307.97,34.06
ORD00000099,2,PROD000721,SELL00411,2017-01-16 05:23:00,794.16,18.66
ORD00000100,1,PROD000715,SELL00139,2017-01-14 05:26:00,283.5,57.85
ORD00000100,2,PROD000432,SELL00208,2017-01-12 05:26:00,224.31,43.81
ORD00000101,1,PROD000119,SELL00495,2017-01-14 07:08:00,972.05,34.71
ORD00000102,1,PROD000351,SELL00306,2017-01-14 08:09:00,912.5,32.99
ORD00000102,2,PROD000621,SELL00138,2017-01-17 08:09:00,1111.42,66.09
ORD00000102,3,PROD000682,SELL00291,2017-01-13 08:09:00,632.83,32.26
ORD00000103,1,PROD000552,SELL00212,2017-01-18 09:41:00,294.03,65.75
ORD00000104,1,PROD000534,SELL00171,2017-01-12 10:15:00,400.45,53.21
ORD00000104,2,PROD000458,SELL00298,2017-01-15 10:15:00,257.18,67.96
ORD00000105,1,PROD000088,SELL00160,2017-01-15 10:54:00,1078.06,58.75
ORD00000105,2,PROD000163,SELL00467,2017-01-11 10:54:00,99.4,26.18
ORD00000105,3,PROD000594,SELL00206,2017-01-15 10:54:00,563.19,36.04
ORD00000106,1,PROD000564,SELL00489,2017-01-11 11:02:00,1143.21,43.61
ORD00000106,2,PROD000317,SELL00012,2017-01-18 11:02:00,1138.95,34.64
ORD00000106,3,PROD000652,SELL00354,2017-01-11 11:02:00,566.31,74.85
ORD00000107,1,PROD000258,SELL00472,2017-01-14 11:48:00,562.33,35.39
ORD00000108,1,PROD000464,SELL00405,2017-01-18 13:30:00,1158.03,71.47
ORD00000109,1,PROD000684,SELL00331,2017-01-16 15:01:00,15.55,10.03
ORD00000110,1,PROD000990,SELL00466,2017-01-11 15:38:00,131.67,69.26
