order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD00000001,1,credit_card,10,1057.06
ORD00000002,1,credit_card,1,355.52
ORD00000003,1,voucher,1,680.37
ORD00000004,1,credit_card,3,566.91
ORD00000005,1,credit_card,1,631.5
ORD00000006,1,credit_card,10,349.36
ORD00000007,1,credit_card,5,2470.61
ORD00000008,1,credit_card,1,227.16
ORD00000009,1,credit_card,2,1410.39
ORD00000010,1,credit_card,1,1158.7
ORD00000011,1,credit_card,4,659.4
ORD00000012,1,credit_card,6,261.46
ORD00000013,1,credit_card,1,1838.32
ORD00000014,1,credit_card,2,447.87
ORD00000015,1,boleto,1,1101.03
ORD00000016,1,boleto,1,913.99
ORD00000017,1,credit_card,12,1210.61
ORD00000018,1,boleto,1,620.77
ORD00000019,1,credit_card,3,1346.89
ORD00000020,1,credit_card,3,654.82
ORD00000021,1,credit_card,4,2137.14
ORD00000022,1,boleto,1,718.94
ORD00000023,1,credit_card,12,1090.11
ORD00000024,1,credit_card,8,927.53
ORD00000025,1,boleto,1,298.05
ORD00000026,1,credit_card,3,1118.62
ORD00000027,1,boleto,1,1027.52
ORD00000028,1,credit_card,1,1212.36
ORD00000029,1,credit_card,5,980.79
ORD00000030,1,debit_card,1,1134.78
ORD00000031,1,credit_card,1,298.63
ORD00000032,1,boleto,1,1245.07
ORD00000033,1,voucher,1,1140.56
ORD00000034,1,credit_card,2,556.65
ORD00000035,1,credit_card,4,545.62
ORD00000036,1,credit_card,1,435.03
ORD00000037,1,credit_card,1,1175.09
ORD00000038,1,credit_card,1,1567.28
ORD00000039,1,boleto,1,840.02
ORD00000040,1,credit_card,5,1417.14
ORD00000041,1,boleto,1,1224.89
ORD00000042,1,boleto,1,290.3
ORD00000043,1,debit_card,1,1602.13
ORD00000044,1,voucher,1,750.81
ORD00000045,1,credit_card,1,1019.6
ORD00000046,1,boleto,1,566.48
ORD00000047,1,boleto,1,209.71
ORD00000048,1,credit_card,3,199.32
ORD00000049,1,credit_card,1,655.05
ORD00000050,1,credit_card,3,1246.03
ORD00000051,1,credit_card,5,1210.84
ORD00000052,1,credit_card,1,1277.41
ORD00000053,1,credit_card,1,468.74
ORD00000054,1,credit_card,1,1152.31
ORD00000055,1,credit_card,6,440.72
ORD00000056,1,boleto,1,219.43
ORD00000057,1,credit_card,2,610.33
ORD00000058,1,credit_card,6,328.21
ORD00000059,1,boleto,1,308.21
ORD00000060,1,voucher,1,886.39
ORD00000061,1,boleto,1,297.65
ORD00000062,1,credit_card,3,1951.04
ORD00000063,1,credit_card,6,1423.69
ORD00000064,1,credit_card,1,643.4
ORD00000065,1,credit_card,1,1528.74
ORD00000066,1,credit_card,1,2888.36
ORD00000067,1,credit_card,12,348.88
ORD00000068,1,voucher,1,1198.36
ORD00000069,1,credit_card,4,1174.81
ORD00000070,1,credit_card,3,837.93
ORD00000071,1,credit_card,5,1982.74
ORD00000072,1,credit_card,4,1283.66
ORD00000073,1,credit_card,3,74.52
ORD00000074,1,credit_card,12,846.16
ORD00000075,1,credit_card,4,2078.33
ORD00000076,1,boleto,1,2757.84
ORD00000077,1,boleto,1,139.15
ORD00000078,1,credit_card,5,723.89
ORD00000079,1,boleto,1,1052.66
ORD00000080,1,credit_card,4,2483.76
ORD00000081,1,credit_card,5,55.48
ORD00000082,1,credit_card,5,971.64
ORD00000083,1,credit_card,3,632.01
ORD00000084,1,credit_card,6,1104.84
ORD00000085,1,credit_card,1,704.59
ORD00000086,1,credit_card,5,1100.05
ORD00000087,1,credit_card,5,238.17
ORD00000088,1,boleto,1,740.81
ORD00000089,1,credit_card,4,734.17
ORD00000090,1,boleto,1,1858.75
ORD00000091,1,credit_card,3,1160.5
ORD00000092,1,boleto,1,603.34
ORD00000093,1,credit_card,4,243.72
ORD00000094,1,credit_card,12,559.94
ORD00000095,1,credit_card,2,267.56
ORD00000096,1,credit_card,2,243.67
ORD00000097,1,credit_card,1,1020.44
ORD00000098,1,boleto,1,496.93
ORD00000099,1,voucher,1,1154.85
ORD00000100,1,credit_card,2,609.47
ORD00000101,1,credit_card,10,1006.76
ORD00000102,1,credit_card,3,2788.09
ORD00000103,1,boleto,1,359.78
ORD00000104,1,credit_card,5,778.8
ORD00000105,1,credit_card,4,1861.62
ORD00000106,1,credit_card,2,3001.57
ORD00000107,1,credit_card,1,597.72
ORD00000108,1,credit_card,1,1229.5
ORD00000109,1,credit_card,1,25.58
ORD00000110,1,credit_card,2,1272.98
ORD00000111,1,credit_card,5,786.54
ORD00000112,1,boleto,1,755.86
ORD00000113,1,voucher,1,165.77
ORD00000114,1,credit_card,1,934.27
ORD00000115,1,credit_card,1,290.03
ORD00000116,1,credit_card,1,482.3
ORD00000117,1,credit_card,1,368.41
ORD00000118,1,credit_card,3,1197.0
ORD00000119,1,credit_card,1,918.25
ORD00000120,1,credit_card,6,908.26
ORD00000121,1,credit_card,8,278.48
ORD00000122,1,credit_card,3,386.54
ORD00000123,1,credit_card,10,1640.83
ORD00000124,1,boleto,1,777.93
ORD00000125,1,credit_card,8,2105.03
ORD00000126,1,voucher,1,273.23
ORD00000127,1,boleto,1,881.28
ORD00000128,1,credit_card,8,169.29
ORD00000129,1,credit_card,12,3007.61
ORD00000130,1,credit_card,4,332.88
ORD00000131,1,credit_card,2,152.56
ORD00000132,1,credit_card,10,571.17
ORD00000133,1,credit_card,3,509.74
ORD00000134,1,voucher,1,925.01
ORD00000135,1,boleto,1,818.77
ORD00000136,1,credit_card,12,737.49
ORD00000137,1,credit_card,10,628.45
ORD00000138,1,boleto,1,370.59
ORD00000139,1,credit_card,2,608.63
ORD00000140,1,credit_card,12,1250.9
ORD00000141,1,credit_card,1,255.54
ORD00000142,1,boleto,1,874.57
ORD00000143,1,credit_card,2,428.6
ORD00000144,1,boleto,1,1237.02
ORD00000145,1,credit_card,4,449.33
ORD00000146,1,credit_card,1,370.54
ORD00000147,1,credit_card,3,2053.6
ORD00000148,1,credit_card,1,954.78
ORD00000149,1,credit_card,1,1177.01
ORD00000150,1,credit_card,1,130.97
ORD00000151,1,credit_card,1,1258.37
ORD00000152,1,credit_card,1,1033.16
ORD00000153,1,credit_card,8,1365.51
ORD00000154,1,credit_card,2,262.23
ORD00000155,1,credit_card,1,698.06
ORD00000156,1,credit_card,2,1892.64
ORD00000157,1,credit_card,1,427.44
ORD00000158,1,credit_card,10,2250.89
ORD00000159,1,credit_card,5,428.24
ORD00000160,1,credit_card,1,441.82
ORD00000161,1,credit_card,5,1111.72
ORD00000162,1,credit_card,12,970.09
ORD00000163,1,boleto,1,1631.24
ORD00000164,1,credit_card,5,1087.59
ORD00000165,1,credit_card,12,2389.14
ORD00000166,1,credit_card,1,1041.35
ORD00000167,1,credit_card,10,1005.84
ORD00000168,1,credit_card,3,297.39
ORD00000169,1,credit_card,3,1043.1
ORD00000170,1,credit_card,3,1085.31
ORD00000171,1,boleto,1,199.4
ORD00000172,1,credit_card,1,588.08
ORD00000173,1,credit_card,1,439.26
ORD00000174,1,credit_card,8,458.7
ORD00000175,1,credit_card,1,414.41
ORD00000176,1,boleto,1,1208.03
ORD00000177,1,credit_card,12,633.01
ORD00000178,1,boleto,1,848.94
ORD00000179,1,credit_card,6,722.53
ORD00000180,1,credit_card,1,759.77
ORD00000181,1,credit_card,4,827.85
ORD00000182,1,boleto,1,1074.31
ORD00000183,1,boleto,1,652.32
ORD00000184,1,boleto,1,2183.73
ORD00000185,1,credit_card,10,524.91
ORD00000186,1,credit_card,2,736.3
ORD00000187,1,credit_card,2,1067.03
ORD00000188,1,debit_card,1,2488.75
ORD00000189,1,credit_card,12,326.94
ORD00000190,1,boleto,1,2800.5
ORD00000191,1,credit_card,4,85.41
ORD00000192,1,credit_card,3,87.0
ORD00000193,1,credit_card,12,990.23
ORD00000194,1,credit_card,1,285.3
ORD00000195,1,credit_card,8,1679.63
ORD00000196,1,credit_card,2,943.83
ORD00000197,1,credit_card,10,694.36
ORD00000198,1,boleto,1,1010.63
ORD00000199,1,credit_card,2,321.46
ORD00000200,1,boleto,1,928.84
ORD00000201,1,credit_card,6,533.96
ORD00000202,1,boleto,1,848.97
ORD00000203,1,credit_card,1,231.26
ORD00000204,1,credit_card,3,1737.66
