review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV00000000,ORD00000001,5,,"Perfeito, gostei muito",2017-01-11 01:16:00,2017-01-18 01:16:00
REV00000001,ORD00000002,5,,,2017-01-16 01:42:00,2017-01-20 01:42:00
REV00000002,ORD00000003,5,,Produto excelente!,2017-01-13 02:06:00,2017-02-01 02:06:00
REV00000003,ORD00000004,5,,"Perfeito, gostei muito",2017-01-28 02:16:00,2017-01-17 02:16:00
REV00000004,ORD00000005,5,,,2017-01-25 04:01:00,2017-01-28 04:01:00
REV00000005,ORD00000006,1,,Decepcionante,2017-01-08 04:38:00,2017-01-20 04:38:00
REV00000006,ORD00000007,5,,,2017-01-29 06:02:00,2017-02-01 06:02:00
REV00000007,ORD00000008,4,,"Perfeito, gostei muito",2017-01-23 08:31:00,2017-01-13 08:31:00
REV00000008,ORD00000009,5,,,2017-01-10 09:28:00,2017-01-12 09:28:00
REV00000009,ORD00000010,4,,Chegou antes do prazo,2017-01-22 09:30:00,2017-02-04 09:30:00
REV00000010,ORD00000011,5,,Ótima qualidade,2017-01-26 09:30:00,2017-01-19 09:30:00
REV00000011,ORD00000012,3,,,2017-01-29 10:04:00,2017-01-18 10:04:00
REV00000012,ORD00000013,3,,Poderia ser melhor,2017-01-29 12:07:00,2017-01-28 12:07:00
REV00000013,ORD00000014,3,,Entrega ok,2017-01-16 13:38:00,2017-01-15 13:38:00
REV00000014,ORD00000015,5,,"Perfeito, gostei muito",2017-01-25 22:36:00,2017-01-14 22:36:00
REV00000015,ORD00000016,1,,,2017-01-10 06:45:00,2017-01-19 06:45:00
REV00000016,ORD00000017,5,,Produto excelente!,2017-01-27 11:35:00,2017-01-15 11:35:00
REV00000017,ORD00000018,1,,Demorou muito,2017-01-17 16:00:00,2017-02-02 16:00:00
REV00000018,ORD00000019,5,,Ótima qualidade,2017-01-17 19:38:00,2017-01-18 19:38:00
REV00000019,ORD00000020,5,,,2017-01-29 20:22:00,2017-01-19 20:22:00
REV00000020,ORD00000021,4,,,2017-01-26 22:34:00,2017-01-24 22:34:00
REV00000021,ORD00000022,4,,"Muito bom, recomendo!",2017-01-26 00:04:00,2017-01-14 00:04:00
REV00000022,ORD00000023,4,,,2017-01-25 00:37:00,2017-01-21 00:37:00
REV00000023,ORD00000024,5,,Produto excelente!,2017-01-14 03:02:00,2017-01-15 03:02:00
REV00000024,ORD00000025,4,,,2017-01-29 03:15:00,2017-02-02 03:15:00
REV00000025,ORD00000026,5,,"Muito bom, recomendo!",2017-01-18 04:55:00,2017-01-23 04:55:00
REV00000026,ORD00000027,3,,,2017-01-23 07:13:00,2017-01-16 07:13:00
REV00000027,ORD00000028,5,,"Muito bom, recomendo!",2017-01-14 11:14:00,2017-01-25 11:14:00
REV00000028,ORD00000029,5,,,2017-01-14 11:16:00,2017-02-03 11:16:00
REV00000029,ORD00000030,1,,Produto com defeito,2017-01-15 12:25:00,2017-01-28 12:25:00
REV00000030,ORD00000031,5,,"Perfeito, gostei muito",2017-01-17 12:29:00,2017-01-17 12:29:00
REV00000031,ORD00000032,5,,,2017-01-17 12:34:00,2017-01-16 12:34:00
REV00000032,ORD00000033,4,,,2017-01-27 13:03:00,2017-01-15 13:03:00
REV00000033,ORD00000034,5,,,2017-02-02 13:53:00,2017-02-02 13:53:00
REV00000034,ORD00000035,4,,Chegou antes do prazo,2017-01-27 14:39:00,2017-01-14 14:39:00
REV00000035,ORD00000036,5,,,2017-01-31 20:13:00,2017-01-25 20:13:00
REV00000036,ORD00000037,4,,"Muito bom, recomendo!",2017-01-27 21:16:00,2017-01-13 21:16:00
REV00000037,ORD00000038,5,,Ótima qualidade,2017-01-11 21:27:00,2017-01-31 21:27:00
REV00000038,ORD00000039,4,,,2017-01-14 05:36:00,2017-02-06 05:36:00
REV00000039,ORD00000040,5,,"Perfeito, gostei muito",2017-01-24 09:17:00,2017-01-15 09:17:00
REV00000040,ORD00000041,5,,"Perfeito, gostei muito",2017-01-21 09:54:00,2017-01-26 09:54:00
REV00000041,ORD00000042,4,,Chegou antes do prazo,2017-01-26 10:01:00,2017-02-06 10:01:00
REV00000042,ORD00000043,3,,,2017-02-02 10:22:00,2017-01-27 10:22:00
REV00000043,ORD00000044,5,,"Perfeito, gostei muito",2017-02-02 14:53:00,2017-01-14 14:53:00
REV00000044,ORD00000045,5,,"Perfeito, gostei muito",2017-01-12 15:08:00,2017-01-28 15:08:00
REV00000045,ORD00000046,5,,Chegou antes do prazo,2017-01-20 16:25:00,2017-01-28 16:25:00
REV00000046,ORD00000047,5,,Produto excelente!,2017-01-31 17:53:00,2017-01-12 17:53:00
REV00000047,ORD00000048,5,,Produto excelente!,2017-01-12 18:03:00,2017-01-29 18:03:00
REV00000048,ORD00000049,5,,,2017-02-03 18:11:00,2017-01-26 18:11:00
REV00000049,ORD00000050,4,,,2017-01-23 22:53:00,2017-01-21 22:53:00
REV00000050,ORD00000051,5,,"Perfeito, gostei muito",2017-01-27 00:33:00,2017-01-23 00:33:00
REV00000051,ORD00000052,2,,Péssima qualidade,2017-01-18 01:17:00,2017-01-22 01:17:00
REV00000052,ORD00000053,4,,Produto excelente!,2017-01-12 02:28:00,2017-01-19 02:28:00
REV00000053,ORD00000054,4,,,2017-01-31 03:04:00,2017-01-21 03:04:00
REV00000054,ORD00000055,5,,"Perfeito, gostei muito",2017-01-21 05:59:00,2017-01-22 05:59:00
REV00000055,ORD00000056,3,,Entrega ok,2017-02-01 07:35:00,2017-02-06 07:35:00
REV00000056,ORD00000057,5,,,2017-01-26 09:21:00,2017-01-20 09:21:00
REV00000057,ORD00000058,5,,,2017-01-27 10:24:00,2017-01-29 10:24:00
REV00000058,ORD00000059,1,,Péssima qualidade,2017-01-29 15:16:00,2017-02-08 15:16:00
REV00000059,ORD00000060,5,,"Muito bom, recomendo!",2017-01-30 15:59:00,2017-01-24 15:59:00
REV00000060,ORD00000061,2,,Decepcionante,2017-01-17 21:23:00,2017-01-20 21:23:00
REV00000061,ORD00000062,4,,Produto excelente!,2017-02-03 00:40:00,2017-02-08 00:40:00
REV00000062,ORD00000063,5,,Chegou antes do prazo,2017-02-04 08:40:00,2017-01-29 08:40:00
REV00000063,ORD00000064,3,,,2017-02-02 08:44:00,2017-02-01 08:44:00
REV00000064,ORD00000065,4,,"Muito bom, recomendo!",2017-02-05 10:21:00,2017-01-16 10:21:00
REV00000065,ORD00000066,4,,,2017-02-05 11:56:00,2017-02-03 11:56:00
REV00000066,ORD00000067,5,,"Muito bom, recomendo!",2017-01-14 12:14:00,2017-02-07 12:14:00
REV00000067,ORD00000068,5,,,2017-01-28 12:40:00,2017-01-23 12:40:00
REV00000068,ORD00000069,4,,Ótima qualidade,2017-01-22 12:49:00,2017-02-02 12:49:00
REV00000069,ORD00000070,4,,"Perfeito, gostei muito",2017-01-23 13:22:00,2017-02-02 13:22:00
REV00000070,ORD00000071,4,,Ótima qualidade,2017-01-17 18:23:00,2017-01-30 18:23:00
REV00000071,ORD00000072,5,,Produto excelente!,2017-01-21 21:33:00,2017-01-21 21:33:00
REV00000072,ORD00000073,5,,,2017-01-30 04:23:00,2017-02-07 04:23:00
REV00000073,ORD00000074,1,,Péssima qualidade,2017-01-16 09:57:00,2017-02-03 09:57:00
REV00000074,ORD00000075,5,,,2017-02-06 09:58:00,2017-01-18 09:58:00
REV00000075,ORD00000076,5,,,2017-01-19 14:16:00,2017-02-09 14:16:00
REV00000076,ORD00000077,5,,"Perfeito, gostei muito",2017-01-24 14:51:00,2017-01-30 14:51:00
REV00000077,ORD00000078,1,,,2017-02-02 15:39:00,2017-01-21 15:39:00
REV00000078,ORD00000079,5,,"Muito bom, recomendo!",2017-01-20 15:52:00,2017-02-06 15:52:00
REV00000079,ORD00000080,5,,Produto excelente!,2017-02-03 17:27:00,2017-02-05 17:27:00
REV00000080,ORD00000081,4,,Ótima qualidade,2017-02-03 19:03:00,2017-02-11 19:03:00
REV00000081,ORD00000082,5,,"Perfeito, gostei muito",2017-02-05 19:29:00,2017-01-31 19:29:00
REV00000082,ORD00000083,5,,Ótima qualidade,2017-01-15 20:57:00,2017-01-24 20:57:00
REV00000083,ORD00000084,3,,,2017-02-04 01:24:00,2017-01-20 01:24:00
REV00000084,ORD00000085,5,,"Muito bom, recomendo!",2017-02-01 03:26:00,2017-01-27 03:26:00
REV00000085,ORD00000086,1,,Não veio conforme descrito,2017-01-17 05:16:00,2017-01-25 05:16:00
REV00000086,ORD00000087,4,,"Perfeito, gostei muito",2017-01-18 05:23:00,2017-01-25 05:23:00
REV00000087,ORD00000088,5,,"Perfeito, gostei muito",2017-01-19 06:19:00,2017-02-06 06:19:00
REV00000088,ORD00000089,5,,Produto excelente!,2017-01-28 07:44:00,2017-02-10 07:44:00
REV00000089,ORD00000090,5,,Produto excelente!,2017-02-02 09:49:00,2017-01-17 09:49:00
REV00000090,ORD00000091,1,,Produto com defeito,2017-01-16 10:55:00,2017-02-08 10:55:00
REV00000091,ORD00000092,5,,,2017-01-30 11:31:00,2017-01-23 11:31:00
REV00000092,ORD00000093,5,,"Perfeito, gostei muito",2017-01-29 12:51:00,2017-01-18 12:51:00
REV00000093,ORD00000094,5,,,2017-01-17 13:18:00,2017-01-21 13:18:00
REV00000094,ORD00000095,5,,"Muito bom, recomendo!",2017-02-01 23:02:00,2017-01-22 23:02:00
REV00000095,ORD00000096,5,,Ótima qualidade,2017-01-24 01:21:00,2017-01-30 01:21:00
REV00000096,ORD00000097,4,,Chegou antes do prazo,2017-02-04 01:29:00,2017-01-30 01:29:00
REV00000097,ORD00000098,1,,,2017-01-31 02:33:00,2017-01-27 02:33:00
REV00000098,ORD00000099,1,,Decepcionante,2017-01-20 05:23:00,2017-01-22 05:23:00
REV00000099,ORD00000100,5,,,2017-01-22 05:26:00,2017-01-26 05:26:00
REV00000100,ORD00000101,4,,,2017-01-24 07:08:00,2017-02-03 07:08:00
REV00000101,ORD00000102,5,,,2017-02-06 08:09:00,2017-01-21 08:09:00
REV00000102,ORD00000103,3,,,2017-02-04 09:41:00,2017-01-18 09:41:00
REV00000103,ORD00000104,5,,"Muito bom, recomendo!",2017-01-16 10:15:00,2017-01-28 10:15:00
REV00000104,ORD00000105,3,,Normal,2017-02-07 10:54:00,2017-01-31 10:54:00
REV00000105,ORD00000106,5,,Chegou antes do prazo,2017-01-30 11:02:00,2017-02-05 11:02:00
REV00000106,ORD00000107,5,,"Perfeito, gostei muito",2017-02-03 11:48:00,2017-01-17 11:48:00
REV00000107,ORD00000108,1,,Demorou muito,2017-01-25 13:30:00,2017-02-09 13:30:00
REV00000108,ORD00000109,5,,"Perfeito, gostei muito",2017-01-25 15:01:00,2017-02-04 15:01:00
REV00000109,ORD00000110,5,,Ótima qualidade,2017-01-16 15:38:00,2017-01-31 15:38:00
REV00000110,ORD00000111,5,,Ótima qualidade,2017-01-24 15:59:00,2017-01-25 15:59:00
REV00000111,ORD00000112,5,,,2017-01-16 18:21:00,2017-02-03 18:21:00
REV00000112,ORD00000113,4,,,2017-01-25 18:42:00,2017-01-25 18:42:00
REV00000113,ORD00000114,5,,,2017-01-22 19:34:00,2017-01-31 19:34:00
REV00000114,ORD00000115,5,,,2017-02-07 20:29:00,2017-02-10 20:29:00
REV00000115,ORD00000116,5,,,2017-02-01 03:27:00,2017-02-05 03:27:00
REV00000116,ORD00000117,4,,Chegou antes do prazo,2017-02-06 04:33:00,2017-02-01 04:33:00
REV00000117,ORD00000118,3,,Normal,2017-02-03 05:04:00,2017-01-22 05:04:00
REV00000118,ORD00000119,5,,,2017-01-23 06:12:00,2017-02-11 06:12:00
REV00000119,ORD00000120,4,,Chegou antes do prazo,2017-02-09 07:34:00,2017-01-29 07:34:00
REV00000120,ORD00000121,1,,Decepcionante,2017-01-19 09:07:00,2017-01-20 09:07:00
REV00000121,ORD00000122,4,,Ótima qualidade,2017-01-27 09:52:00,2017-02-12 09:52:00
REV00000122,ORD00000123,5,,Ótima qualidade,2017-02-05 09:56:00,2017-01-23 09:56:00
REV00000123,ORD00000124,3,,Entrega ok,2017-01-20 10:12:00,2017-01-18 10:12:00
REV00000124,ORD00000125,5,,"Muito bom, recomendo!",2017-02-04 14:02:00,2017-01-28 14:02:00
REV00000125,ORD00000126,5,,Chegou antes do prazo,2017-01-20 14:07:00,2017-01-22 14:07:00
REV00000126,ORD00000127,3,,Poderia ser melhor,2017-01-30 14:47:00,2017-02-12 14:47:00
REV00000127,ORD00000128,5,,"Muito bom, recomendo!",2017-02-01 16:29:00,2017-01-26 16:29:00
REV00000128,ORD00000129,5,,,2017-01-18 16:33:00,2017-02-10 16:33:00
REV00000129,ORD00000130,4,,Chegou antes do prazo,2017-01-27 17:18:00,2017-02-02 17:18:00
REV00000130,ORD00000131,3,,,2017-01-31 18:27:00,2017-01-20 18:27:00
REV00000131,ORD00000132,4,,Chegou antes do prazo,2017-02-06 19:02:00,2017-02-04 19:02:00
REV00000132,ORD00000133,5,,Ótima qualidade,2017-01-17 19:22:00,2017-02-12 19:22:00
REV00000133,ORD00000134,3,,"Ok, dentro do esperado",2017-01-29 20:23:00,2017-02-05 20:23:00
REV00000134,ORD00000135,5,,,2017-01-20 21:30:00,2017-02-01 21:30:00
REV00000135,ORD00000136,5,,,2017-01-21 00:00:00,2017-01-24 00:00:00
REV00000136,ORD00000137,5,,"Perfeito, gostei muito",2017-01-25 00:36:00,2017-01-21 00:36:00
REV00000137,ORD00000138,5,,"Muito bom, recomendo!",2017-01-22 01:19:00,2017-01-26 01:19:00
REV00000138,ORD00000139,4,,"Perfeito, gostei muito",2017-01-28 05:00:00,2017-01-22 05:00:00
REV00000139,ORD00000140,2,,Decepcionante,2017-02-09 06:54:00,2017-01-25 06:54:00
