order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD00000001,CUST002543,delivered,2017-01-01 01:16:00,2017-01-02 17:16:00,2017-01-04 17:16:00,2017-01-22 17:16:00,2017-01-21 01:16:00
ORD00000002,CUST003713,delivered,2017-01-01 01:42:00,2017-01-01 23:42:00,2017-01-02 23:42:00,2017-01-17 23:42:00,2017-01-19 01:42:00
ORD00000003,CUST003956,delivered,2017-01-01 02:06:00,2017-01-01 16:06:00,2017-01-04 16:06:00,2017-01-05 16:06:00,2017-01-29 02:06:00
ORD00000004,CUST004530,delivered,2017-01-01 02:16:00,2017-01-02 01:16:00,2017-01-04 01:16:00,2017-01-22 01:16:00,2017-01-31 02:16:00
ORD00000005,CUST004304,delivered,2017-01-01 04:01:00,2017-01-02 14:01:00,2017-01-09 14:01:00,2017-01-29 14:01:00,2017-01-22 04:01:00
ORD00000006,CUST004229,delivered,2017-01-01 04:38:00,2017-01-02 19:38:00,2017-01-05 19:38:00,2017-01-21 19:38:00,2017-02-06 04:38:00
ORD00000007,CUST001306,delivered,2017-01-01 06:02:00,2017-01-02 23:02:00,2017-01-09 23:02:00,2017-01-10 23:02:00,2017-01-18 06:02:00
ORD00000008,CUST004465,delivered,2017-01-01 08:31:00,2017-01-02 21:31:00,2017-01-06 21:31:00,2017-01-26 21:31:00,2017-02-07 08:31:00
ORD00000009,CUST003175,delivered,2017-01-01 09:28:00,2017-01-02 13:28:00,2017-01-05 13:28:00,2017-01-16 13:28:00,2017-01-17 09:28:00
ORD00000010,CUST003629,delivered,2017-01-01 09:30:00,2017-01-02 06:30:00,2017-01-07 06:30:00,2017-01-11 06:30:00,2017-02-06 09:30:00
ORD00000011,CUST000782,delivered,2017-01-01 09:30:00,2017-01-02 16:30:00,2017-01-06 16:30:00,2017-01-17 16:30:00,2017-01-12 09:30:00
ORD00000012,CUST000567,delivered,2017-01-01 10:04:00,2017-01-02 03:04:00,2017-01-06 03:04:00,2017-01-10 03:04:00,2017-02-05 10:04:00
ORD00000013,CUST004623,delivered,2017-01-01 12:07:00,2017-01-03 00:07:00,2017-01-08 00:07:00,2017-01-15 00:07:00,2017-01-11 12:07:00
ORD00000014,CUST004133,delivered,2017-01-01 13:38:00,2017-01-01 16:38:00,2017-01-08 16:38:00,2017-01-27 16:38:00,2017-02-05 13:38:00
ORD00000015,CUST004274,delivered,2017-01-01 22:36:00,2017-01-03 12:36:00,2017-01-06 12:36:00,2017-01-15 12:36:00,2017-01-15 22:36:00
ORD00000016,CUST000639,delivered,2017-01-02 06:45:00,2017-01-03 18:45:00,2017-01-08 18:45:00,2017-01-23 18:45:00,2017-01-18 06:45:00
ORD00000017,CUST003701,delivered,2017-01-02 11:35:00,2017-01-03 05:35:00,2017-01-06 05:35:00,2017-01-26 05:35:00,2017-02-01 11:35:00
ORD00000018,CUST004168,delivered,2017-01-02 16:00:00,2017-01-03 18:00:00,2017-01-09 18:00:00,2017-01-22 18:00:00,2017-01-28 16:00:00
ORD00000019,CUST002400,delivered,2017-01-02 19:38:00,2017-01-03 23:38:00,2017-01-07 23:38:00,2017-01-22 23:38:00,2017-01-30 19:38:00
ORD00000020,CUST002671,delivered,2017-01-02 20:22:00,2017-01-04 07:22:00,2017-01-09 07:22:00,2017-01-28 07:22:00,2017-01-20 20:22:00
ORD00000021,CUST001173,delivered,2017-01-02 22:34:00,2017-01-04 04:34:00,2017-01-05 04:34:00,2017-01-19 04:34:00,2017-02-03 22:34:00
ORD00000022,CUST001721,delivered,2017-01-03 00:04:00,2017-01-03 07:04:00,2017-01-07 07:04:00,2017-01-08 07:04:00,2017-02-09 00:04:00
ORD00000023,CUST000105,delivered,2017-01-03 00:37:00,2017-01-04 04:37:00,2017-01-09 04:37:00,2017-01-11 04:37:00,2017-01-15 00:37:00
ORD00000024,CUST001683,delivered,2017-01-03 03:02:00,2017-01-03 20:02:00,2017-01-08 20:02:00,2017-01-23 20:02:00,2017-02-11 03:02:00
ORD00000025,CUST004317,delivered,2017-01-03 03:15:00,2017-01-03 09:15:00,2017-01-04 09:15:00,2017-01-05 09:15:00,2017-02-12 03:15:00
ORD00000026,CUST001850,delivered,2017-01-03 04:55:00,2017-01-03 18:55:00,2017-01-10 18:55:00,2017-01-27 18:55:00,2017-01-21 04:55:00
ORD00000027,CUST000863,delivered,2017-01-03 07:13:00,2017-01-05 05:13:00,2017-01-09 05:13:00,2017-01-13 05:13:00,2017-01-23 07:13:00
ORD00000028,CUST003446,delivered,2017-01-03 11:14:00,2017-01-04 13:14:00,2017-01-08 13:14:00,2017-01-20 13:14:00,2017-01-26 11:14:00
ORD00000029,CUST002566,delivered,2017-01-03 11:16:00,2017-01-04 15:16:00,2017-01-10 15:16:00,2017-01-21 15:16:00,2017-01-13 11:16:00
